"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	347	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	345	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	351	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	319	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	351	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	352	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	11,016	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	11,523	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	13,072	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	12,623	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	13,540	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	14,900	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	10,651	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	12,420	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	13,568	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	14,114	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	14,072	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	13,450	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	17,603	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	18,804	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	22,856	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	21,317	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	21,805	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	23,621	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	11,802	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1,169	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	957	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	13,719	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	14,653	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1,096	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	977	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	12,211	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1,114	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	12,317	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1,100	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	10,440	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	6,500	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	6,501	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	7,301	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	10,421	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	4,876	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	830	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1,205	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1,125	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1,125	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,344	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,444	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,494	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,494	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,494	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1,494	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	13,343	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	15,079	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16,796	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16,435	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	14,742	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16,435	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	93	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	905	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	485	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	580	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	905	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	8625	8625	"Statutory Management - CH Finance Limited and Others - Payment of Statutory Managers"	"Non-Departmental Output Expenses"	"Permanent Legislative Authority"	"Other Economic"	236	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8625	8625	"Statutory Management - CH Finance Limited and Others - Payment of Statutory Managers"	"Non-Departmental Output Expenses"	"Permanent Legislative Authority"	"Other Economic"	75	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9561	9561	"Regulation of Electricity Lines Businesses"	"Non-Departmental Output Expenses"		"Other Economic"	2,762	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9561	9561	"Regulation of Electricity Lines Businesses"	"Non-Departmental Output Expenses"		"Other Economic"	4,104	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9561	9561	"Regulation of Electricity Lines Businesses"	"Non-Departmental Output Expenses"		"Other Economic"	4,167	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9562	9562	"Input Methodologies"	"Non-Departmental Output Expenses"		"Other Economic"	4,910	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9562	9562	"Input Methodologies"	"Non-Departmental Output Expenses"		"Other Economic"	3,293	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9562	9562	"Input Methodologies"	"Non-Departmental Output Expenses"		"Other Economic"	355	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9563	9563	"Regulation of Airport Services"	"Non-Departmental Output Expenses"		"Transport and Communications"	687	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9563	9563	"Regulation of Airport Services"	"Non-Departmental Output Expenses"		"Transport and Communications"	718	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9563	9563	"Regulation of Airport Services"	"Non-Departmental Output Expenses"		"Transport and Communications"	400	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9564	9564	"Regulation of Natural Gas Services"	"Non-Departmental Output Expenses"		"Fuel and Energy"	1,441	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9564	9564	"Regulation of Natural Gas Services"	"Non-Departmental Output Expenses"		"Fuel and Energy"	2,146	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9564	9564	"Regulation of Natural Gas Services"	"Non-Departmental Output Expenses"		"Fuel and Energy"	1,300	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9617	9617	"Regulation of Anti-Money Laundering and Countering Financing of Terrorism"	"Non-Departmental Output Expenses"		"Core Government Services"	1,920	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9617	9617	"Regulation of Anti-Money Laundering and Countering Financing of Terrorism"	"Non-Departmental Output Expenses"		"Core Government Services"	2,441	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9707	9707	"Regulation of Auditors"	"Non-Departmental Output Expenses"		"Core Government Services"	400	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9735	9735	"Financial Advisers and Financial Service Providers"	"Non-Departmental Output Expenses"		"Other Economic"	4,921	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9763	9763	"Accounting and Assurance Standards Setting"	"Non-Departmental Output Expenses"		"Core Government Services"	1,350	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9763	9763	"Accounting and Assurance Standards Setting"	"Non-Departmental Output Expenses"		"Core Government Services"	4,410	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10212	10212	"Licensing and Supervision of Market Participants"	"Non-Departmental Output Expenses"		"Other Economic"	2,140	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10212	10212	"Licensing and Supervision of Market Participants"	"Non-Departmental Output Expenses"		"Other Economic"	11,688	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10213	10213	"Performance of Financial Markets Monitoring Functions"	"Non-Departmental Output Expenses"		"Other Economic"	2,125	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10213	10213	"Performance of Financial Markets Monitoring Functions"	"Non-Departmental Output Expenses"		"Other Economic"	6,837	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10214	10214	"Performance of Investigation and Enforcement Functions"	"Non-Departmental Output Expenses"		"Other Economic"	1,314	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10214	10214	"Performance of Investigation and Enforcement Functions"	"Non-Departmental Output Expenses"		"Other Economic"	5,749	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10220	10220	"Retirement Commissioner"	"Non-Departmental Output Expenses"		"Social Security and Welfare"	5,782	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	60	60	"Risk Capital Fund - Directors' Fees"	"Non-Departmental Other Expenses"		"Other Economic"	4	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	421	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	394	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	476	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	466	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	485	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	5259	5259	"Contributions to International Organisations"	"Non-Departmental Other Expenses"		"Core Government Services"	485	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	3,730	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	6,993	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	7,885	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	6,370	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	5,890	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	7722	7722	"Commerce Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	8,000	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	7723	7723	"Securities Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	202	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7723	7723	"Securities Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	10	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7723	7723	"Securities Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	505	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7723	7723	"Securities Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	1,304	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7723	7723	"Securities Commission Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	1,370	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	8529	8529	"Takeovers Panel Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	49	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	8529	8529	"Takeovers Panel Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	200	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	8529	8529	"Takeovers Panel Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	200	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	9722	9722	"Proceeds of Crime Repayments"	"Non-Departmental Other Expenses"		"Law & Order"	54	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	10210	10210	"Financial Markets Authority Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	1,000	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10210	10210	"Financial Markets Authority Litigation Fund"	"Non-Departmental Other Expenses"		"Other Economic"	2,500	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	7424	7424	"Investment in Takeovers Panel"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	150	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7724	7724	"Investment in Securities Commission"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1,110	2010	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	7724	7724	"Investment in Securities Commission"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1,230	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9764	9764	"Investment in the Accounting Standards Review Board/External Reporting Board"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	825	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	9764	9764	"Investment in the Accounting Standards Review Board/External Reporting Board"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	460	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10080	10080	"Statutory Management - Aorangi Securities Limited and Others"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	2,000	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10080	10080	"Statutory Management - Aorangi Securities Limited and Others"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	1,000	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	10211	10211	"Investment in the Financial Markets Authority"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	3,400	2011	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Commerce"	10211	10211	"Investment in the Financial Markets Authority"	"Non-Departmental Capital Expenditure"		"No Functional Classification"	5,000	2012	"Main Estimates"	"A"
"Ministry of Economic Development"	"Communications"	69	69	"Policy Advice - Communications"	"Departmental Output Expenses"		"Transport and Communications"	5,024	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	69	69	"Policy Advice - Communications"	"Departmental Output Expenses"		"Transport and Communications"	5,123	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	69	69	"Policy Advice - Communications"	"Departmental Output Expenses"		"Transport and Communications"	4,605	2009	"Actuals"	"A"
