Department	vote	App id	MCOA id	Description	Revenue Type	Functional Classification	Amount ($000)	Year	Amount_Type_Desc	Periodicity
Ministry of Economic Development	Communications	7595	7595	Telecommunications Levy	Non-Tax Revenue	No Functional Classification	6001	2013	Main Estimates	A
Ministry of Economic Development	Communications	8607	8607	Revenue from the Textphone Rental Service	Non-Tax Revenue	No Functional Classification	3	2008	Actuals	A
Ministry of Economic Development	Communications	8607	8607	Revenue from the Textphone Rental Service	Non-Tax Revenue	No Functional Classification	1	2010	Actuals	A
Ministry of Economic Development	Communications	8607	8607	Revenue from the Textphone Rental Service	Non-Tax Revenue	No Functional Classification	1	2011	Actuals	A
Ministry of Economic Development	Communications	10064	10064	Radio Spectrum Financing	Non-Tax Revenue	No Functional Classification	4156	2012	Estimated Actual	A
Ministry of Economic Development	Communications	10064	10064	Radio Spectrum Financing	Non-Tax Revenue	No Functional Classification	3276	2013	Main Estimates	A
Ministry of Economic Development	Communications	10277	10277	Telecommunications Development Levy	Non-Tax Revenue	No Functional Classification	50000	2012	Estimated Actual	A
Ministry of Economic Development	Communications	10277	10277	Telecommunications Development Levy	Non-Tax Revenue	No Functional Classification	50000	2013	Main Estimates	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	7499	2008	Actuals	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	3150	2009	Actuals	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	11667	2010	Actuals	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	12441	2011	Actuals	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	20240	2012	Estimated Actual	A
Ministry of Economic Development	Communications	7558	7558	Radio Spectrum Rights	Capital Receipts	No Functional Classification	27156	2013	Main Estimates	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	6	2008	Actuals	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	11	2009	Actuals	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	5	2010	Actuals	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	2	2011	Actuals	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	20	2012	Estimated Actual	A
Ministry of Economic Development	Consumer Affairs	88	88	Trade Measurement Unit Infringement Fees	Non-Tax Revenue	No Functional Classification	20	2013	Main Estimates	A
Ministry of Economic Development	Consumer Affairs	10036	10036	Financial Service Providers Reserve Dispute Resolution Scheme	Non-Tax Revenue	No Functional Classification	244	2011	Actuals	A
Ministry of Economic Development	Consumer Affairs	10036	10036	Financial Service Providers Reserve Dispute Resolution Scheme	Non-Tax Revenue	No Functional Classification	700	2012	Estimated Actual	A
Ministry of Economic Development	Consumer Affairs	10036	10036	Financial Service Providers Reserve Dispute Resolution Scheme	Non-Tax Revenue	No Functional Classification	1680	2013	Main Estimates	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	8200	2008	Actuals	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	7145	2009	Actuals	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	6494	2010	Actuals	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	8257	2011	Actuals	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	8200	2012	Estimated Actual	A
Ministry of Economic Development	Energy	105	105	Energy Resource Levies - Coal	Tax Revenue	No Functional Classification	7784	2013	Main Estimates	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	38058	2008	Actuals	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	31379	2009	Actuals	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	32698	2010	Actuals	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	27451	2011	Actuals	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	24622	2012	Estimated Actual	A
Ministry of Economic Development	Energy	106	106	Energy Resource Levies - Gas	Tax Revenue	No Functional Classification	28090	2013	Main Estimates	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	50	2008	Actuals	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	41	2009	Actuals	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	32	2010	Actuals	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	58	2011	Actuals	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	65	2012	Estimated Actual	A
Ministry of Economic Development	Energy	109	109	Ironsands Royalties	Non-Tax Revenue	No Functional Classification	63	2013	Main Estimates	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	93	2008	Actuals	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	61	2009	Actuals	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	18	2010	Actuals	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	24	2011	Actuals	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	80	2012	Estimated Actual	A
Ministry of Economic Development	Energy	110	110	Residual Ministry of Energy Commitments	Non-Tax Revenue	No Functional Classification	80	2013	Main Estimates	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	1305	2008	Actuals	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	1035	2009	Actuals	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	918	2010	Actuals	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	2259	2011	Actuals	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	2283	2012	Estimated Actual	A
Ministry of Economic Development	Energy	111	111	Royalties - Coal	Non-Tax Revenue	No Functional Classification	1912	2013	Main Estimates	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	3565	2008	Actuals	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	6501	2009	Actuals	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	11313	2010	Actuals	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	9227	2011	Actuals	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	7264	2012	Estimated Actual	A
Ministry of Economic Development	Energy	113	113	Royalties - Minerals	Non-Tax Revenue	No Functional Classification	3388	2013	Main Estimates	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	86094	2008	Actuals	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	511581	2009	Actuals	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	399195	2010	Actuals	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	357058	2011	Actuals	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	310866	2012	Estimated Actual	A
Ministry of Economic Development	Energy	114	114	Royalties - Petroleum	Non-Tax Revenue	No Functional Classification	345950	2013	Main Estimates	A
Ministry of Economic Development	Energy	4047	4047	Repayment of Compensation Payments	Non-Tax Revenue	No Functional Classification	4	2008	Actuals	A
Ministry of Economic Development	Energy	4047	4047	Repayment of Compensation Payments	Non-Tax Revenue	No Functional Classification	2	2009	Actuals	A
Ministry of Economic Development	Energy	7596	7596	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	4132	2008	Actuals	A
Ministry of Economic Development	Energy	7596	7596	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	5946	2009	Actuals	A
Ministry of Economic Development	Energy	7596	7596	Levy on Electricity Line Businesses	Non-Tax Revenue	No Functional Classification	293	2010	Actuals	A
Ministry of Economic Development	Energy	8698	8698	Levy on Electricity Industry Participants	Non-Tax Revenue	No Functional Classification	75087	2008	Actuals	A
Ministry of Economic Development	Energy	8698	8698	Levy on Electricity Industry Participants	Non-Tax Revenue	No Functional Classification	82081	2009	Actuals	A
Ministry of Economic Development	Energy	8698	8698	Levy on Electricity Industry Participants	Non-Tax Revenue	No Functional Classification	86420	2010	Actuals	A
Ministry of Economic Development	Energy	8698	8698	Levy on Electricity Industry Participants	Non-Tax Revenue	No Functional Classification	28204	2011	Actuals	A
Ministry of Economic Development	Energy	8894	8894	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	1674	2008	Actuals	A
Ministry of Economic Development	Energy	8894	8894	Control of Natural Gas Services	Non-Tax Revenue	No Functional Classification	1798	2009	Actuals	A
Ministry of Economic Development	Energy	8895	8895	Whirinaki Operating and Maintenance Recoveries	Non-Tax Revenue	No Functional Classification	36022	2008	Actuals	A
Ministry of Economic Development	Energy	8895	8895	Whirinaki Operating and Maintenance Recoveries	Non-Tax Revenue	No Functional Classification	8063	2009	Actuals	A
Ministry of Economic Development	Energy	8895	8895	Whirinaki Operating and Maintenance Recoveries	Non-Tax Revenue	No Functional Classification	8926	2010	Actuals	A
Ministry of Economic Development	Energy	8895	8895	Whirinaki Operating and Maintenance Recoveries	Non-Tax Revenue	No Functional Classification	2638	2011	Actuals	A
Ministry of Economic Development	Energy	8896	8896	Whirinaki Availability	Non-Tax Revenue	No Functional Classification	20355	2008	Actuals	A
Ministry of Economic Development	Energy	8896	8896	Whirinaki Availability	Non-Tax Revenue	No Functional Classification	22251	2009	Actuals	A
Ministry of Economic Development	Energy	8896	8896	Whirinaki Availability	Non-Tax Revenue	No Functional Classification	22536	2010	Actuals	A
Ministry of Economic Development	Energy	8896	8896	Whirinaki Availability	Non-Tax Revenue	No Functional Classification	5513	2011	Actuals	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	33843	2008	Actuals	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	2505	2009	Actuals	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	6402	2010	Actuals	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	1290	2011	Actuals	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	883	2012	Estimated Actual	A
Ministry of Economic Development	Energy	8897	8897	Whirinaki Electricity Generation	Non-Tax Revenue	No Functional Classification	100	2013	Main Estimates	A
Ministry of Economic Development	Energy	8976	8976	Electricity Governance Rulings Panel Penalties and Fees	Non-Tax Revenue	No Functional Classification	58	2009	Actuals	A
Ministry of Economic Development	Energy	8976	8976	Electricity Governance Rulings Panel Penalties and Fees	Non-Tax Revenue	No Functional Classification	18	2011	Actuals	A
Ministry of Economic Development	Energy	9385	9385	Miscellaneous Receipts	Non-Tax Revenue	No Functional Classification	1501	2010	Actuals	A
Ministry of Economic Development	Energy	9792	9792	Levy on Electricity Industry	Non-Tax Revenue	No Functional Classification	51831	2011	Actuals	A
Ministry of Economic Development	Energy	9792	9792	Levy on Electricity Industry	Non-Tax Revenue	No Functional Classification	87724	2012	Estimated Actual	A
Ministry of Economic Development	Energy	9792	9792	Levy on Electricity Industry	Non-Tax Revenue	No Functional Classification	80850	2013	Main Estimates	A
Ministry of Economic Development	Energy	9793	9793	Whirinaki Availability Recovered	Non-Tax Revenue	No Functional Classification	11250	2011	Actuals	A
Ministry of Economic Development	Energy	9793	9793	Whirinaki Availability Recovered	Non-Tax Revenue	No Functional Classification	7213	2012	Estimated Actual	A
Ministry of Economic Development	Energy	9794	9794	Whirinaki Operating and Maintenance Recovered	Non-Tax Revenue	No Functional Classification	4336	2011	Actuals	A
Ministry of Economic Development	Energy	9794	9794	Whirinaki Operating and Maintenance Recovered	Non-Tax Revenue	No Functional Classification	2685	2012	Estimated Actual	A
Ministry of Economic Development	Energy	10316	10316	Levy on Security Management	Non-Tax Revenue	No Functional Classification	1200	2013	Main Estimates	A
Ministry of Economic Development	Energy	9166	9166	Sales Proceeds Surplus Assets	Capital Receipts	No Functional Classification	199	2008	Actuals	A
Ministry of Economic Development	Energy	9457	9457	Repayment of Crown Energy Efficiency Loans.	Capital Receipts	No Functional Classification	1213	2009	Actuals	A
Ministry of Economic Development	Energy	9457	9457	Repayment of Crown Energy Efficiency Loans.	Capital Receipts	No Functional Classification	1784	2010	Actuals	A
Ministry of Economic Development	Energy	9457	9457	Repayment of Crown Energy Efficiency Loans.	Capital Receipts	No Functional Classification	1831	2011	Actuals	A
Ministry of Economic Development	Energy	9457	9457	Repayment of Crown Energy Efficiency Loans.	Capital Receipts	No Functional Classification	2000	2012	Estimated Actual	A
Ministry of Economic Development	Energy	9457	9457	Repayment of Crown Energy Efficiency Loans.	Capital Receipts	No Functional Classification	2000	2013	Main Estimates	A
Ministry of Economic Development	Energy	10304	10304	Sale of Whirinaki	Capital Receipts	No Functional Classification	33000	2012	Estimated Actual	A
Ministry of Economic Development	Tourism	124	124	Rent from Reserve Lands	Non-Tax Revenue	No Functional Classification	305	2008	Actuals	A
Ministry of Economic Development	Tourism	124	124	Rent from Reserve Lands	Non-Tax Revenue	No Functional Classification	713	2009	Actuals	A
Ministry of Economic Development	Tourism	124	124	Rent from Reserve Lands	Non-Tax Revenue	No Functional Classification	435	2010	Actuals	A
Ministry of Economic Development	Tourism	124	124	Rent from Reserve Lands	Non-Tax Revenue	No Functional Classification	113	2011	Actuals	A
Ministry of Economic Development	Tourism	124	124	Rent from Reserve Lands	Non-Tax Revenue	No Functional Classification	40	2013	Main Estimates	A
Ministry of Economic Development	Tourism	3286	3286	Concession Fees	Non-Tax Revenue	No Functional Classification	643	2008	Actuals	A
Ministry of Economic Development	Tourism	3286	3286	Concession Fees	Non-Tax Revenue	No Functional Classification	501	2009	Actuals	A
Ministry of Economic Development	Tourism	3286	3286	Concession Fees	Non-Tax Revenue	No Functional Classification	572	2010	Actuals	A
Ministry of Economic Development	Tourism	3286	3286	Concession Fees	Non-Tax Revenue	No Functional Classification	270	2011	Actuals	A
Ministry of Economic Development	Economic Development	10305	10305	Right Hemisphere Loan Repayment	Capital Receipts	No Functional Classification	9581	2012	Estimated Actual	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	194	2008	Actuals	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	176	2009	Actuals	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	173	2010	Actuals	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	168	2011	Actuals	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	200	2012	Estimated Actual	A
Department of Conservation	Conservation	1243	1243	Turnbull House Revenue	Non-Tax Revenue	No Functional Classification	200	2013	Main Estimates	A
Department of Conservation	Conservation	1247	1247	Disposal of Reserves	Non-Tax Revenue	No Functional Classification	1480	2008	Actuals	A
Department of Conservation	Conservation	1247	1247	Disposal of Reserves	Non-Tax Revenue	No Functional Classification	3302	2009	Actuals	A
Department of Conservation	Conservation	1247	1247	Disposal of Reserves	Non-Tax Revenue	No Functional Classification	8327	2010	Actuals	A
Department of Conservation	Conservation	1247	1247	Disposal of Reserves	Non-Tax Revenue	No Functional Classification	278	2011	Actuals	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	1782	2008	Actuals	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	1776	2009	Actuals	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	1793	2010	Actuals	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	1985	2011	Actuals	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	2161	2012	Estimated Actual	A
Department of Conservation	Conservation	3295	3295	Old Government Building Rental	Non-Tax Revenue	No Functional Classification	2161	2013	Main Estimates	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	13591	2008	Actuals	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	13564	2009	Actuals	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	13390	2010	Actuals	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	13835	2011	Actuals	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	12200	2012	Estimated Actual	A
Department of Conservation	Conservation	4071	4071	Concessions, Leases and Licences	Non-Tax Revenue	No Functional Classification	13500	2013	Main Estimates	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	447	2008	Actuals	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	486	2009	Actuals	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	519	2010	Actuals	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	539	2011	Actuals	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	964	2012	Estimated Actual	A
Department of Conservation	Conservation	8617	8617	Rates Recovery from Concessionaires	Non-Tax Revenue	No Functional Classification	964	2013	Main Estimates	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	36	2008	Actuals	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	421	2009	Actuals	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	159	2010	Actuals	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	22	2011	Actuals	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	561	2012	Estimated Actual	A
Department of Conservation	Conservation	9186	9186	Revenue for Land Purchases	Non-Tax Revenue	No Functional Classification	561	2013	Main Estimates	A
Department of Conservation	Conservation	10130	10130	Contributions for Crown Property, Plant and Equipment	Non-Tax Revenue	No Functional Classification	100	2012	Estimated Actual	A
Department of Conservation	Conservation	10275	10275	Dominion Observatory Rental	Non-Tax Revenue	No Functional Classification	25	2012	Estimated Actual	A
Department of Conservation	Conservation	10275	10275	Dominion Observatory Rental	Non-Tax Revenue	No Functional Classification	25	2013	Main Estimates	A
Department of Conservation	Conservation	10053	10053	Disposal of Conservation Land	Capital Receipts	No Functional Classification	332	2011	Actuals	A
Department of Conservation	Conservation	10053	10053	Disposal of Conservation Land	Capital Receipts	No Functional Classification	7000	2012	Estimated Actual	A
Department of Conservation	Conservation	10053	10053	Disposal of Conservation Land	Capital Receipts	No Functional Classification	1000	2013	Main Estimates	A
Department of Conservation	Conservation	10054	10054	Disposal of Reserves	Capital Receipts	No Functional Classification	280	2011	Actuals	A
Department of Conservation	Conservation	10054	10054	Disposal of Reserves	Capital Receipts	No Functional Classification	600	2012	Estimated Actual	A
Department of Conservation	Conservation	10054	10054	Disposal of Reserves	Capital Receipts	No Functional Classification	1800	2013	Main Estimates	A
Ministry for Culture and Heritage	Arts, Culture and Heritage	8731	8731	Broadcasting Standards Authority - Costs Awarded to Crown	Non-Tax Revenue	No Functional Classification	24	2008	Actuals	A
Ministry for Culture and Heritage	Arts, Culture and Heritage	8731	8731	Broadcasting Standards Authority - Costs Awarded to Crown	Non-Tax Revenue	No Functional Classification	14	2009	Actuals	A
