Department,Vote,App id,MCOA id,Description,Revenue Type,Functional Classification,Amount ($000),Year,Amount_Type_Desc,Periodicity
Ministry of Education ,Education,3321,3321,Crown Entity Recoveries,Non-Tax Revenue,No Functional Classification,45198,2010,Actuals,A
Ministry of Education ,Education,3321,3321,Crown Entity Recoveries,Non-Tax Revenue,No Functional Classification,14441,2011,Actuals,A
Ministry of Education ,Education,3321,3321,Crown Entity Recoveries,Non-Tax Revenue,No Functional Classification,75,2012,Actuals,A
Ministry of Education ,Education,7040,7040,Tertiary Investments - Interest,Non-Tax Revenue,No Functional Classification,1674,2009,Actuals,A
Ministry of Education ,Education,7040,7040,Tertiary Investments - Interest,Non-Tax Revenue,No Functional Classification,46,2010,Actuals,A
Ministry of Education ,Education,7040,7040,Tertiary Investments - Interest,Non-Tax Revenue,No Functional Classification,41,2011,Actuals,A
Ministry of Education ,Education,7040,7040,Tertiary Investments - Interest,Non-Tax Revenue,No Functional Classification,122,2013,Estimated Actual,A
Ministry of Education ,Education,7040,7040,Tertiary Investments - Interest,Non-Tax Revenue,No Functional Classification,122,2014,Main Estimates,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3097,2009,Actuals,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3019,2010,Actuals,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3311,2011,Actuals,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3495,2012,Actuals,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3521,2013,Estimated Actual,A
Ministry of Education ,Education,7756,7756,Export Education Levies,Non-Tax Revenue,No Functional Classification,3521,2014,Main Estimates,A
Ministry of Education ,Education,8767,8767,State Sector Retirement Savings Scheme Recoveries,Non-Tax Revenue,No Functional Classification,50855,2009,Actuals,A
Ministry of Education ,Education,8767,8767,State Sector Retirement Savings Scheme Recoveries,Non-Tax Revenue,No Functional Classification,55179,2010,Actuals,A
Ministry of Education ,Education,8767,8767,State Sector Retirement Savings Scheme Recoveries,Non-Tax Revenue,No Functional Classification,54107,2011,Actuals,A
Ministry of Education ,Education,8767,8767,State Sector Retirement Savings Scheme Recoveries,Non-Tax Revenue,No Functional Classification,68567,2012,Actuals,A
Ministry of Education ,Education,294,294,Asset Sales,Capital Receipts,No Functional Classification,569,2009,Actuals,A
Ministry of Education ,Education,294,294,Asset Sales,Capital Receipts,No Functional Classification,2338,2010,Actuals,A
Ministry of Education ,Education,294,294,Asset Sales,Capital Receipts,No Functional Classification,1554,2011,Actuals,A
Ministry of Education ,Education,7039,7039,Tertiary Investments - Repayments,Capital Receipts,No Functional Classification,22621,2009,Actuals,A
Ministry of Education ,Education,7039,7039,Tertiary Investments - Repayments,Capital Receipts,No Functional Classification,1000,2010,Actuals,A
Ministry of Education ,Tertiary Education,10121,10121,Tertiary Recoveries,Non-Tax Revenue,No Functional Classification,11055,2012,Actuals,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,578,2009,Actuals,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,533,2010,Actuals,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,341,2011,Actuals,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,701,2012,Actuals,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,500,2013,Estimated Actual,A
Ministry for the Environment,Environment,312,312,Coastal Royalties,Non-Tax Revenue,No Functional Classification,400,2014,Main Estimates,A
Ministry for the Environment,Environment,9519,9519,Waste Disposal Levy,Non-Tax Revenue,No Functional Classification,24973,2010,Actuals,A
Ministry for the Environment,Environment,9519,9519,Waste Disposal Levy,Non-Tax Revenue,No Functional Classification,25037,2011,Actuals,A
Ministry for the Environment,Environment,9519,9519,Waste Disposal Levy,Non-Tax Revenue,No Functional Classification,26189,2012,Actuals,A
Ministry for the Environment,Environment,9519,9519,Waste Disposal Levy,Non-Tax Revenue,No Functional Classification,26000,2013,Estimated Actual,A
Ministry for the Environment,Environment,9519,9519,Waste Disposal Levy,Non-Tax Revenue,No Functional Classification,26000,2014,Main Estimates,A
Ministry for the Environment,Environment,10618,10618,Emissions Trading,Non-Tax Revenue,No Functional Classification,5072,2013,Estimated Actual,A
Ministry for the Environment,Environment,10618,10618,Emissions Trading,Non-Tax Revenue,No Functional Classification,5213,2014,Main Estimates,A
Ministry for the Environment,Environment,10619,10619,Emissions Trading Scheme Penalty Revenue,Non-Tax Revenue,No Functional Classification,45,2013,Estimated Actual,A
Ministry for the Environment,Climate Change,9291,9291,Emissions Trading,Non-Tax Revenue,No Functional Classification,325968,2011,Actuals,A
Ministry for the Environment,Climate Change,9291,9291,Emissions Trading,Non-Tax Revenue,No Functional Classification,136489,2012,Actuals,A
Ministry for the Environment,Climate Change,9374,9374,Revision in Forecast Carbon Units under Kyoto Protocol,Non-Tax Revenue,No Functional Classification,809798,2009,Actuals,A
Ministry for the Environment,Climate Change,9374,9374,Revision in Forecast Carbon Units under Kyoto Protocol,Non-Tax Revenue,No Functional Classification,64015,2010,Actuals,A
Ministry for the Environment,Climate Change,9374,9374,Revision in Forecast Carbon Units under Kyoto Protocol,Non-Tax Revenue,No Functional Classification,205627,2011,Actuals,A
Ministry for the Environment,Climate Change,9374,9374,Revision in Forecast Carbon Units under Kyoto Protocol,Non-Tax Revenue,No Functional Classification,20287,2012,Actuals,A
Ministry for the Environment,Climate Change,10299,10299,Emissions Trading Scheme Penalty Revenue,Non-Tax Revenue,No Functional Classification,4178,2012,Actuals,A
Ministry of Foreign Affairs and Trade,Foreign Affairs and Trade,338,338,Crown Recoveries,Non-Tax Revenue,No Functional Classification,174,2009,Actuals,A
Ministry of Foreign Affairs and Trade,Foreign Affairs and Trade,338,338,Crown Recoveries,Non-Tax Revenue,No Functional Classification,71,2010,Actuals,A
Ministry of Foreign Affairs and Trade,Foreign Affairs and Trade,338,338,Crown Recoveries,Non-Tax Revenue,No Functional Classification,23,2011,Actuals,A
Ministry of Foreign Affairs and Trade,Foreign Affairs and Trade,338,338,Crown Recoveries,Non-Tax Revenue,No Functional Classification,155,2012,Actuals,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,49791,2009,Actuals,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,52253,2010,Actuals,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,52660,2011,Actuals,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,56310,2012,Actuals,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,66359,2013,Estimated Actual,A
Ministry of Health,Health,397,397,ACC - Reimbursement of Motor Vehicle-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,67883,2014,Main Estimates,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,19108,2009,Actuals,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,20050,2010,Actuals,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,20820,2011,Actuals,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,21714,2012,Actuals,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,27948,2013,Estimated Actual,A
Ministry of Health,Health,398,398,ACC - Reimbursement of Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,28589,2014,Main Estimates,A
Ministry of Health,Health,401,401,Residual Health Management Rental,Non-Tax Revenue,No Functional Classification,637,2009,Actuals,A
Ministry of Health,Health,401,401,Residual Health Management Rental,Non-Tax Revenue,No Functional Classification,632,2010,Actuals,A
Ministry of Health,Health,401,401,Residual Health Management Rental,Non-Tax Revenue,No Functional Classification,695,2011,Actuals,A
Ministry of Health,Health,401,401,Residual Health Management Rental,Non-Tax Revenue,No Functional Classification,450,2012,Actuals,A
Ministry of Health,Health,401,401,Residual Health Management Rental,Non-Tax Revenue,No Functional Classification,164,2013,Estimated Actual,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,74499,2009,Actuals,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,78173,2010,Actuals,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,81526,2011,Actuals,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,84719,2012,Actuals,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,80103,2013,Estimated Actual,A
Ministry of Health,Health,3986,3986,ACC - Reimbursement of Earners' Non-Work-Related Public Hospital Costs,Non-Tax Revenue,No Functional Classification,81943,2014,Main Estimates,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,231073,2009,Actuals,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,242598,2010,Actuals,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,253587,2011,Actuals,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,262965,2012,Actuals,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,263865,2013,Estimated Actual,A
Ministry of Health,Health,5936,5936,ACC - Reimbursement of Non-Earners Account,Non-Tax Revenue,No Functional Classification,269914,2014,Main Estimates,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,4366,2009,Actuals,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,4581,2010,Actuals,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,4791,2011,Actuals,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,4967,2012,Actuals,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,7630,2013,Estimated Actual,A
Ministry of Health,Health,7435,7435,ACC - Reimbursement of Self-Employed Public Hospital Costs,Non-Tax Revenue,No Functional Classification,7805,2014,Main Estimates,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,151159,2009,Actuals,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,159392,2010,Actuals,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,158796,2011,Actuals,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,163043,2012,Actuals,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,166307,2013,Estimated Actual,A
Ministry of Health,Health,7436,7436,Payment of Capital Charge by DHBs,Non-Tax Revenue,No Functional Classification,166307,2014,Main Estimates,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,3116,2009,Actuals,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,3270,2010,Actuals,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,2984,2011,Actuals,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,3471,2012,Actuals,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,2440,2013,Estimated Actual,A
Ministry of Health,Health,7437,7437,ACC - Reimbursement of Medical Misadventure Costs,Non-Tax Revenue,No Functional Classification,2494,2014,Main Estimates,A
Ministry of Health,Health,7440,7440,Net Surplus from DHBs,Non-Tax Revenue,No Functional Classification,-159609,2009,Actuals,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,4306,2009,Actuals,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,4163,2010,Actuals,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,5476,2011,Actuals,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,5985,2012,Actuals,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,5476,2013,Estimated Actual,A
Ministry of Health,Health,8534,8534,ACC - Reimbursement of Complex Burns Costs,Non-Tax Revenue,No Functional Classification,5476,2014,Main Estimates,A
Ministry of Health,Health,7772,7772,Repayment of Residential Care Loans,Capital Receipts,No Functional Classification,10928,2009,Actuals,A
Ministry of Health,Health,7772,7772,Repayment of Residential Care Loans,Capital Receipts,No Functional Classification,11560,2010,Actuals,A
