Department,Vote,App ID,MCOA ID,Description,Appropriation Type,Output Expense Type,Functional Classification,Amount ($000),Year,Amount_Type_Desc,Periodicity,Current Scope
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"153,736",2010,Actuals,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"154,753",2011,Actuals,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"154,775",2012,Actuals,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"162,269",2013,Estimated Actual,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
Department of Conservation,Conservation,7733,7733,Management of Natural Heritage,Departmental Output Expenses,,Environmental Protection,"162,847",2014,Main Estimates,A,"This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"5,536",2009,Actuals,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"5,360",2010,Actuals,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"5,498",2011,Actuals,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"5,188",2012,Actuals,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"6,043",2013,Estimated Actual,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7734,7734,Management of Historic Heritage,Departmental Output Expenses,,Environmental Protection,"5,774",2014,Main Estimates,A,This appropriation is limited to the protection and conservation management of historic heritage.
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"121,048",2009,Actuals,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"123,325",2010,Actuals,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"131,716",2011,Actuals,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"139,454",2012,Actuals,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"148,415",2013,Estimated Actual,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7735,7735,Management of Recreational Opportunities,Departmental Output Expenses,,Environmental Protection,"144,650",2014,Main Estimates,A,"This appropriation is limited to recreational facilities and services, and the management of business concessions."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"13,784",2009,Actuals,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"14,810",2010,Actuals,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"15,845",2011,Actuals,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"16,016",2012,Actuals,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"21,754",2013,Estimated Actual,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7736,7736,Conservation with the Community,Departmental Output Expenses,,Environmental Protection,"21,407",2014,Main Estimates,A,"This appropriation is limited to educational and public awareness services, and facilitation of community involvement and community-led conservation activities."
Department of Conservation,Conservation,7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning",Departmental Output Expenses,,Environmental Protection,"6,289",2009,Actuals,A,"This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
Department of Conservation,Conservation,7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning",Departmental Output Expenses,,Environmental Protection,"4,859",2010,Actuals,A,"This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
Department of Conservation,Conservation,7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning",Departmental Output Expenses,,Environmental Protection,"4,679",2011,Actuals,A,"This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
Department of Conservation,Conservation,7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning",Departmental Output Expenses,,Environmental Protection,"5,184",2012,Actuals,A,"This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
Department of Conservation,Conservation,8616,8616,Recreational Opportunities Review,Departmental Output Expenses,,Environmental Protection,334,2009,Actuals,A,This appropriation is limited to the depreciation and write-off of visitor assets to be decommissioned following the review of recreational opportunities.
Department of Conservation,Conservation,8616,8616,Recreational Opportunities Review,Departmental Output Expenses,,Environmental Protection,278,2010,Actuals,A,This appropriation is limited to the depreciation and write-off of visitor assets to be decommissioned following the review of recreational opportunities.
Department of Conservation,Conservation,8616,8616,Recreational Opportunities Review,Departmental Output Expenses,,Environmental Protection,272,2011,Actuals,A,This appropriation is limited to the depreciation and write-off of visitor assets to be decommissioned following the review of recreational opportunities.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"2,553",2009,Actuals,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"2,949",2010,Actuals,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"2,866",2011,Actuals,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"2,703",2012,Actuals,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"3,473",2013,Estimated Actual,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,8925,8925,Crown Contribution to Regional Pest Management,Departmental Output Expenses,,Environmental Protection,"3,291",2014,Main Estimates,A,This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.
Department of Conservation,Conservation,10359,10358,Policy Advice,Departmental Output Expenses,,Environmental Protection,"2,028",2013,Estimated Actual,A,This output class is limited to the provision of advice (including second opinion advice and contributions to policy advice led by other agencies) to support decision-making by Ministers on government policy matters relating to conservation.
Department of Conservation,Conservation,10360,10358,"Statutory Planning, Services to Ministers and Statutory Bodies",Departmental Output Expenses,,Environmental Protection,"4,000",2013,Estimated Actual,A,This output class is limited to statutory planning and the provision of services to Ministers (other than policy decision making responsibilities) and statutory bodies to enable them to discharge their portfolio and responsibilities.
Department of Conservation,Conservation,10359,10358,Policy Advice,Departmental Output Expenses,,Environmental Protection,"2,198",2014,Main Estimates,A,This output class is limited to the provision of advice (including second opinion advice and contributions to policy advice led by other agencies) to support decision-making by Ministers on government policy matters relating to conservation.
Department of Conservation,Conservation,10360,10358,"Statutory Planning, Services to Ministers and Statutory Bodies",Departmental Output Expenses,,Environmental Protection,"4,000",2014,Main Estimates,A,This output class is limited to statutory planning and the provision of services to Ministers (other than policy decision making responsibilities) and statutory bodies to enable them to discharge their portfolio and responsibilities.
Department of Conservation,Conservation,7855,7855,Recovery from February 2011 Christchurch Earthquake,Departmental Other Expenses,,Environmental Protection,"1,132",2011,Actuals,A,"This appropriation is limited to writing off, or making good damage to, departmental assets and re-establishing departmental operations in Christchurch following the 22 February 2011 earthquake."
Department of Conservation,Conservation,7855,7855,Recovery from February 2011 Christchurch Earthquake,Departmental Other Expenses,,Environmental Protection,368,2013,Estimated Actual,A,"This appropriation is limited to writing off, or making good damage to, departmental assets and re-establishing departmental operations in Christchurch following the 22 February 2011 earthquake."
Department of Conservation,Conservation,137,137,Identification and Implementation of Protection for Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"50,475",2009,Actuals,A,This appropriation is limited to identification and implementation of protection for natural and historic places.
Department of Conservation,Conservation,137,137,Identification and Implementation of Protection for Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"10,258",2010,Actuals,A,This appropriation is limited to identification and implementation of protection for natural and historic places.
Department of Conservation,Conservation,137,137,Identification and Implementation of Protection for Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"7,046",2011,Actuals,A,This appropriation is limited to identification and implementation of protection for natural and historic places.
Department of Conservation,Conservation,137,137,Identification and Implementation of Protection for Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"7,718",2012,Actuals,A,This appropriation is limited to identification and implementation of protection for natural and historic places.
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,439",2009,Actuals,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,450",2010,Actuals,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,489",2011,Actuals,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,462",2012,Actuals,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,972",2013,Estimated Actual,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,138,138,Management Services - Natural and Historic Places,Non-Departmental Output Expenses,,Environmental Protection,"1,932",2014,Main Estimates,A,"This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"3,010",2009,Actuals,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"4,246",2010,Actuals,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"4,848",2011,Actuals,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"3,149",2012,Actuals,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"3,648",2013,Estimated Actual,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7738,7738,NZ Biodiversity Funds,Non-Departmental Output Expenses,,Environmental Protection,"10,812",2014,Main Estimates,A,"This appropriation is limited to the payment of grants: to provide private land managers with information and advice, or assistance with costs of pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,22,2009,Actuals,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,22,2010,Actuals,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,22,2011,Actuals,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,23,2012,Actuals,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,23,2013,Estimated Actual,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,7739,7739,Moutoa Gardens/Pakaitore,Non-Departmental Output Expenses,,Environmental Protection,23,2014,Main Estimates,A,This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.
Department of Conservation,Conservation,8888,8888,Stewart Island Infrastructure,Non-Departmental Output Expenses,,Environmental Protection,84,2009,Actuals,A,This appropriation is limited to assistance to the Southland District Council for additional community infrastructure arising from increased visitor numbers on Stewart Island.
Department of Conservation,Conservation,8888,8888,Stewart Island Infrastructure,Non-Departmental Output Expenses,,Environmental Protection,184,2012,Actuals,A,This appropriation is limited to assistance to the Southland District Council for additional community infrastructure arising from increased visitor numbers on Stewart Island.
Department of Conservation,Conservation,8888,8888,Stewart Island Infrastructure,Non-Departmental Output Expenses,,Environmental Protection,140,2013,Estimated Actual,A,This appropriation is limited to assistance to the Southland District Council for additional community infrastructure arising from increased visitor numbers on Stewart Island.
Department of Conservation,Conservation,8888,8888,Stewart Island Infrastructure,Non-Departmental Output Expenses,,Environmental Protection,445,2014,Main Estimates,A,This appropriation is limited to assistance to the Southland District Council for additional community infrastructure arising from increased visitor numbers on Stewart Island.
Department of Conservation,Conservation,10348,10344,Legal Protection Queen Elizabeth II,Non-Departmental Output Expenses,,Environmental Protection,"2,412",2013,Estimated Actual,A,This output class is limited to identification and implementation of protection of biodiversity on private land.
Department of Conservation,Conservation,10347,10344,Nga Whenua Rahui,Non-Departmental Output Expenses,,Environmental Protection,"5,332",2013,Estimated Actual,A,This output class is limited to the identification and implementation of protection of indigenous ecosystems on Maori land.
Department of Conservation,Conservation,10345,10344,Nature Heritage Fund,Non-Departmental Output Expenses,,Environmental Protection,"3,248",2013,Estimated Actual,A,This output class is limited to the identification and implementation of protection of indigenous ecosystems on private land.
Department of Conservation,Conservation,10347,10344,Nga Whenua Rahui,Non-Departmental Output Expenses,,Environmental Protection,"5,994",2014,Main Estimates,A,This output class is limited to the identification and implementation of protection of indigenous ecosystems on Maori land.
Department of Conservation,Conservation,10348,10344,Legal Protection Queen Elizabeth II,Non-Departmental Output Expenses,,Environmental Protection,"2,412",2014,Main Estimates,A,This output class is limited to identification and implementation of protection of biodiversity on private land.
Department of Conservation,Conservation,10345,10344,Nature Heritage Fund,Non-Departmental Output Expenses,,Environmental Protection,"3,577",2014,Main Estimates,A,This output class is limited to the identification and implementation of protection of indigenous ecosystems on private land.
