"UnitName"	"VoteName"	"AppropriationID"	"ParentAppropriationID"	"Description"	"Revenue Type"	"FunctionalClassification"	"Amount $(000)"	"Year"	"AmountType"	"Periodicity"
"Ministry of Economic Development"	"Commerce"	9591	9591	"Financial Advisers Act (FAA) Fees and Charges"	"Non-Tax Revenue"	"No Functional Classification"	" 6,091 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Commerce"	5894	5894	"Return of Capital Invested"	"Capital Receipts"	"No Functional Classification"	" 183 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5894	5894	"Return of Capital Invested"	"Capital Receipts"	"No Functional Classification"	" 1,973 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5894	5894	"Return of Capital Invested"	"Capital Receipts"	"No Functional Classification"	" 16 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	5894	5894	"Return of Capital Invested"	"Capital Receipts"	"No Functional Classification"	" 2 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Commerce"	9594	9594	"Securities Commission Return of Capital"	"Capital Receipts"	"No Functional Classification"	" 2,065 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	83	83	"Radio Spectrum"	"Non-Tax Revenue"	"No Functional Classification"	" 334 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	83	83	"Radio Spectrum"	"Non-Tax Revenue"	"No Functional Classification"	" 443 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	83	83	"Radio Spectrum"	"Non-Tax Revenue"	"No Functional Classification"	" 378 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	83	83	"Radio Spectrum"	"Non-Tax Revenue"	"No Functional Classification"	" 324 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	83	83	"Radio Spectrum"	"Non-Tax Revenue"	"No Functional Classification"	" 302 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 3,500 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 3,295 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 6,357 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 4,713 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 7,215 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Communications"	7595	7595	"Telecommunications Levy"	"Non-Tax Revenue"	"No Functional Classification"	" 7,791 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Communications"	8607	8607	"Revenue from the Textphone Rental Service"	"Non-Tax Revenue"	"No Functional Classification"	" 10 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	8607	8607	"Revenue from the Textphone Rental Service"	"Non-Tax Revenue"	"No Functional Classification"	" 3 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	8607	8607	"Revenue from the Textphone Rental Service"	"Non-Tax Revenue"	"No Functional Classification"	" 3 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 82 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 2,714 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 7,499 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 3,150 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 786 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Communications"	7558	7558	"Radio Spectrum Rights"	"Capital Receipts"	"No Functional Classification"	" 26,403 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 5 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 5 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 6 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 11 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 9 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Consumer Affairs"	88	88	"Trade Measurement Unit Infringement Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 20 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 8,963 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 8,934 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 8,200 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 7,145 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 6,160 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	105	105	"Energy Resource Levies - Coal"	"Tax Revenue"	"No Functional Classification"	" 7,784 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 64,174 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 44,680 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 38,058 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 31,379 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 30,451 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	106	106	"Energy Resource Levies - Gas"	"Tax Revenue"	"No Functional Classification"	" 30,090 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 56 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 70 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 50 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 41 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 66 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	109	109	"Ironsands Royalties"	"Non-Tax Revenue"	"No Functional Classification"	" 63 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 120 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 86 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 93 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 61 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 45 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	110	110	"Residual Ministry of Energy Commitments"	"Non-Tax Revenue"	"No Functional Classification"	" 80 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 1,820 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 2,158 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 1,305 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 1,035 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 1,551 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	111	111	"Royalties - Coal"	"Non-Tax Revenue"	"No Functional Classification"	" 1,912 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 1,477 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 2,615 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 3,565 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 6,501 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 6,732 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	113	113	"Royalties - Minerals"	"Non-Tax Revenue"	"No Functional Classification"	" 3,388 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 60,958 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 65,640 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 86,094 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 511,581 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 500,050 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	114	114	"Royalties - Petroleum"	"Non-Tax Revenue"	"No Functional Classification"	" 503,950 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	4047	4047	"Repayment of Compensation Payments"	"Non-Tax Revenue"	"No Functional Classification"	" 2 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	4047	4047	"Repayment of Compensation Payments"	"Non-Tax Revenue"	"No Functional Classification"	" 6 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	4047	4047	"Repayment of Compensation Payments"	"Non-Tax Revenue"	"No Functional Classification"	" 4 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	4047	4047	"Repayment of Compensation Payments"	"Non-Tax Revenue"	"No Functional Classification"	" 2 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	7596	7596	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 2,370 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	7596	7596	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 2,770 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	7596	7596	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 4,132 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	7596	7596	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 5,946 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	7596	7596	"Levy on Electricity Line Businesses"	"Non-Tax Revenue"	"No Functional Classification"	" 293 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 69,173 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 76,328 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 75,087 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 82,081 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 96,524 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	8698	8698	"Levy on Electricity Industry Participants"	"Non-Tax Revenue"	"No Functional Classification"	" 102,661 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	8894	8894	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 1,250 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8894	8894	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 1,237 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8894	8894	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 1,674 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8894	8894	"Control of Natural Gas Services"	"Non-Tax Revenue"	"No Functional Classification"	" 1,798 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 7,492 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 5,209 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 36,022 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 8,063 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 8,968 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	8895	8895	"Whirinaki Operating and Maintenance Recoveries"	"Non-Tax Revenue"	"No Functional Classification"	" 4,000 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 15,487 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 22,871 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 20,355 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 22,251 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 22,536 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	8896	8896	"Whirinaki Availability"	"Non-Tax Revenue"	"No Functional Classification"	" 25,000 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 6,118 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 193 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 33,843 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 2,505 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 4,563 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	8897	8897	"Whirinaki Electricity Generation"	"Non-Tax Revenue"	"No Functional Classification"	" 100 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Energy"	8976	8976	"Electricity Governance Rulings Panel Penalties and Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 4 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	8976	8976	"Electricity Governance Rulings Panel Penalties and Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 58 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	9385	9385	"Miscellaneous Receipts"	"Non-Tax Revenue"	"No Functional Classification"	" 1,501 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	9166	9166	"Sales Proceeds Surplus Assets"	"Capital Receipts"	"No Functional Classification"	" 199 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	9457	9457	"Repayment of Crown Energy Efficiency Loans."	"Capital Receipts"	"No Functional Classification"	" 1,213 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Energy"	9457	9457	"Repayment of Crown Energy Efficiency Loans."	"Capital Receipts"	"No Functional Classification"	" 2,000 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Energy"	9457	9457	"Repayment of Crown Energy Efficiency Loans."	"Capital Receipts"	"No Functional Classification"	" 2,000 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 126 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 531 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 305 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 713 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 420 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Tourism"	124	124	"Rent from Reserve Lands"	"Non-Tax Revenue"	"No Functional Classification"	" 40 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 344 "	2006	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 429 "	2007	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 643 "	2008	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 501 "	2009	"Actuals"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 617 "	2010	"Estimated Actual"	"A"
"Ministry of Economic Development"	"Tourism"	3286	3286	"Concession Fees"	"Non-Tax Revenue"	"No Functional Classification"	" 609 "	2011	"Main Estimates"	"A"
"Ministry of Economic Development"	"Tourism"	8790	8790	"Recovery of Scholarship Funding"	"Non-Tax Revenue"	"No Functional Classification"	" 27 "	2006	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 221 "	2006	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 208 "	2007	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 194 "	2008	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 176 "	2009	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 200 "	2010	"Estimated Actual"	"A"
"Department of Conservation"	"Conservation"	1243	1243	"Turnbull House Revenue"	"Non-Tax Revenue"	"No Functional Classification"	" 200 "	2011	"Main Estimates"	"A"
"Department of Conservation"	"Conservation"	1247	1247	"Disposal of Reserves"	"Non-Tax Revenue"	"No Functional Classification"	" 1,829 "	2006	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1247	1247	"Disposal of Reserves"	"Non-Tax Revenue"	"No Functional Classification"	" 1,505 "	2007	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1247	1247	"Disposal of Reserves"	"Non-Tax Revenue"	"No Functional Classification"	" 1,480 "	2008	"Actuals"	"A"
"Department of Conservation"	"Conservation"	1247	1247	"Disposal of Reserves"	"Non-Tax Revenue"	"No Functional Classification"	" 3,302 "	2009	"Actuals"	"A"
