"Department"	"Vote"	"App id"	"MCOA id"	"Description"	"Appropriation Type"	"Output Expense Type"	"Functional Classification"	"Amount ($000)"	"Year"	"Amount_Type_Desc"	"Periodicity"	"Curr_Mains_Scope"
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6237	2011	"Estimated Actual"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	8943	8977	"Supporting Accountability to Parliament"	"Departmental Output Expenses"		"Core Government Services"	2860	2012	"Main Estimates"	"A"	"This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General"	"Audit"	8946	8977	"Performance Audits and Inquiries"	"Departmental Output Expenses"		"Core Government Services"	6587	2012	"Main Estimates"	"A"	"This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2008	"Actuals"	"A"	"This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2009	"Actuals"	"A"	"This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2010	"Actuals"	"A"	"This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2011	"Estimated Actual"	"A"	"This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General"	"Audit"	9314	9314	"Audit and Assurance Services"	"Departmental Output Expenses"		"Core Government Services"	150	2012	"Main Estimates"	"A"	"This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	58581	2007	"Actuals"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	58474	2008	"Actuals"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	60452	2009	"Actuals"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	62587	2010	"Actuals"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	64797	2011	"Estimated Actual"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	8783	8783	"Audit and Assurance Services"	"Departmental Output Expenses"	"Revenue Dependent"	"Core Government Services"	71451	2012	"Main Estimates"	"A"	"This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	699	2008	"Actuals"	"A"	"This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	716	2009	"Actuals"	"A"	"This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	662	2010	"Actuals"	"A"	"This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	803	2011	"Estimated Actual"	"A"	"This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General"	"Audit"	9363	9363	"Remuneration of Auditor-General and Deputy Auditor-General"	"Departmental Other Expenses"	"Permanent Legislative Authority"	"Core Government Services"	803	2012	"Main Estimates"	"A"	"This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	779	2008	"Actuals"	"A"	"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1511	2009	"Actuals"	"A"	"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	922	2010	"Actuals"	"A"	"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1045	2011	"Estimated Actual"	"A"	"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General"	"Audit"	9202	9202	"Controller and Auditor-General - Capital Expenditure"	"Departmental Capital Expenditure"	"Permanent Legislative Authority"	"No Functional Classification"	1800	2012	"Main Estimates"	"A"	"This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	347	2007	"Actuals"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	345	2008	"Actuals"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	351	2009	"Actuals"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	319	2010	"Actuals"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	351	2011	"Estimated Actual"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	52	52	"Administration of Part II Tariff Concessions"	"Departmental Output Expenses"		"Other Economic"	352	2012	"Main Estimates"	"A"	"Assessing applications by importers to be exempted from import duties under the tariff concessions policy. "
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	11016	2007	"Actuals"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	11523	2008	"Actuals"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	13072	2009	"Actuals"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	12623	2010	"Actuals"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	13540	2011	"Estimated Actual"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	54	54	"Registration and Granting of Intellectual Property Rights"	"Departmental Output Expenses"		"Other Economic"	14900	2012	"Main Estimates"	"A"	"Administering legislation providing for the protection of intellectual property rights by the granting of patents and plant variety rights, the registration of trademarks and designs."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	10651	2007	"Actuals"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	12420	2008	"Actuals"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	13568	2009	"Actuals"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	14114	2010	"Actuals"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	14072	2011	"Estimated Actual"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	3280	3280	"Administration of Insolvencies"	"Departmental Output Expenses"		"Law & Order"	13450	2012	"Main Estimates"	"A"	"The administration of bankruptcies and liquidations under the Insolvency Act 2006 and the Companies Act 1993 and the management of proceeds of crime orders under the Proceeds of Crime Act 1991."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	17603	2007	"Actuals"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	18804	2008	"Actuals"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	22856	2009	"Actuals"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	21317	2010	"Actuals"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	21805	2011	"Estimated Actual"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	5287	5287	"Registration and Provision of Statutory Information"	"Departmental Output Expenses"		"Core Government Services"	23621	2012	"Main Estimates"	"A"	"Registering and provision of documents and information services in respect of all corporate entities, securities over insurance and superannuation schemes and securities over personal property (excluding land)."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1169	2007	"Actuals"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	11802	2007	"Actuals"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	13719	2008	"Actuals"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	957	2008	"Actuals"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1096	2009	"Actuals"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	14653	2009	"Actuals"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	977	2010	"Actuals"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	12211	2010	"Actuals"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	12317	2011	"Estimated Actual"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1114	2011	"Estimated Actual"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8929	8930	"Administration of Trade Remedies"	"Departmental Output Expenses"		"Other Economic"	1100	2012	"Main Estimates"	"A"	"This appropriation is limited to investigative services including ministerial servicing to establish whether New Zealand industries require remedies to prevent injury caused by dumped or subsidised imports or sudden import surges."
"Ministry of Economic Development"	"Commerce"	8928	8930	"Policy and Purchase Advice - Business Law and Competition Policy"	"Departmental Output Expenses"		"Other Economic"	10440	2012	"Main Estimates"	"A"	"This appropriation is limited to policy advice and ministerial servicing in relation to international negotiating expertise on the financial sector legal frameworks; competition law policy and corporate governance policy; intellectual property rights; standards and conformance issues and technical barriers to trade; trade remedies, tariffs, rules of origin, and other border issues; quality of regulatory policy, including the regulatory impact analysis regime; and monitoring of Crown entities and statutory boards."
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	6500	2007	"Actuals"	"A"	"This appropriation is limited to the performance of statutory functions by the Securities Commission in its role as New Zealand's main regulator of investments and securities."
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	6501	2008	"Actuals"	"A"	"This appropriation is limited to the performance of statutory functions by the Securities Commission in its role as New Zealand's main regulator of investments and securities."
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	7301	2009	"Actuals"	"A"	"This appropriation is limited to the performance of statutory functions by the Securities Commission in its role as New Zealand's main regulator of investments and securities."
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	10421	2010	"Actuals"	"A"	"This appropriation is limited to the performance of statutory functions by the Securities Commission in its role as New Zealand's main regulator of investments and securities."
"Ministry of Economic Development"	"Commerce"	1474	1474	"Performance of Securities Market Functions"	"Non-Departmental Output Expenses"		"Other Economic"	4876	2011	"Estimated Actual"	"A"	"This appropriation is limited to the performance of statutory functions by the Securities Commission in its role as New Zealand's main regulator of investments and securities."
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	830	2007	"Actuals"	"A"	"This appropriation is limited to improvements to financial reporting standards."
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1205	2008	"Actuals"	"A"	"This appropriation is limited to improvements to financial reporting standards."
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1125	2009	"Actuals"	"A"	"This appropriation is limited to improvements to financial reporting standards."
"Ministry of Economic Development"	"Commerce"	1475	1475	"Approval and Review of Financial Reporting Standards"	"Non-Departmental Output Expenses"		"Other Economic"	1125	2010	"Actuals"	"A"	"This appropriation is limited to improvements to financial reporting standards."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1344	2007	"Actuals"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1444	2008	"Actuals"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1494	2009	"Actuals"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1494	2010	"Actuals"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1494	2011	"Estimated Actual"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	1478	1478	"Administration of the Takeovers Code"	"Non-Departmental Output Expenses"		"Other Economic"	1494	2012	"Main Estimates"	"A"	"The performance of statutory functions by the Takeovers Panel as specified in the Takeovers Act 1993."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	13343	2007	"Actuals"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	15079	2008	"Actuals"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16796	2009	"Actuals"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16435	2010	"Actuals"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	14742	2011	"Estimated Actual"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	5354	5354	"Enforcement of General Market Regulation"	"Non-Departmental Output Expenses"		"Other Economic"	16435	2012	"Main Estimates"	"A"	"The promotion of competition and fair trading through the administration, enforcement and adjudication activities undertaken by the Commerce Commission."
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	93	2007	"Actuals"	"A"	"Commerce Commission funding for dispute resolution relating to and enforcement of the Dairy Industry Restructuring Act 2001 and related regulations. "
"Ministry of Economic Development"	"Commerce"	7667	7667	"Enforcement of Dairy Sector Regulation"	"Non-Departmental Output Expenses"		"Core Government Services"	905	2008	"Actuals"	"A"	"Commerce Commission funding for dispute resolution relating to and enforcement of the Dairy Industry Restructuring Act 2001 and related regulations. "
